NOMBRE,NOMBRE-WIKI,IDNOMBRE,tieneInstalacionesDeportivas,tieneWifi,generoAlumnos,TRANSPORTE,Cercanias,Cercanias Lines,Cercanias Station,Metro,Metro_Station,metro_line,Bus,bus_line,Superfice m²,ACCESIBILIDAD,NOMBRE-VIA,calle madrid,NOMBRE-VIA-WIKI,NUM,LOCALIDAD,LOCALIDAD-WIKI,PROVINCIA,CODIGO-POSTAL,BARRIO,BARRIO-WIKI,DISTRITO,DISTRITO-WIKI,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO,TipoInstalacion
Biblioteca Pública Latina - Antonio Mingote,http://www.wikidata.org/entity/Q85697873,Biblioteca-Publica-Antonio-Mingote-(Latina),,sí,,Cercanías Renfe: Maestra Justa Freire - Polideportivo Aluche (antigua estación de Fanjul) (línea C5),Renfe: Maestra Justa Freire  Polideportivo Aluche (antigua estación de Fanjul) (línea C5),C-5,Maestra Justa Freire - Polideportivo Aluche,,,,,,,Accesible,RAFAEL FINAT,"Calle de Rafael Finat, Madrid",http://www.wikidata.org/entity/Q29648073,51,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28044,Las Águilas,http://www.wikidata.org/entity/Q5971372,Latina,http://www.wikidata.org/entity/Q794954,40.37944179159947,-3.7694389972002424,915093625,bib.latina@madrid.org,/contenido/entidadesYorganismos/BibliotecasPublicas,BibliotecasPublicas
Biblioteca Pública Retiro - Elena Fortún,http://www.wikidata.org/entity/Q85697975,Biblioteca-Publica-Elena-Fortun-(Retiro),,sí,,"Metro: Pacífico (líneas 1 y 6), Conde de Casal (línea 6)  Bus: 10, 14, 32, 56, 63, 143, 145, E.",,,,"Metro: Pacífico (líneas 1 y 6), Conde de Casal (línea 6)","Pacífico , Conde de Casal","1
6","Bus: 10, 14, 32, 56, 63, 143, 145, E","10
14
32
56
63
143
145",,Accesible,DOCTOR ESQUERDO,calle del Doctor Esquerdo,http://www.wikidata.org/entity/Q5741005,189,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28007,Adelfas,http://www.wikidata.org/entity/Q3774001,Retiro,http://www.wikidata.org/entity/Q2002296,40.403577814444176,-3.6724086076957154,915019146,bib.retiro@madrid.org,/contenido/entidadesYorganismos/BibliotecasPublicas,BibliotecasPublicas
Biblioteca Pública Hortaleza,http://www.wikidata.org/entity/Q85697866,Biblioteca-Publica-Hortaleza,,no especifica,,Metro: Parque de Santa María (línea 4),,,,Metro: Parque de Santa María (línea 4),Parque de Santa María,4,,,,Accesible,ABERTURA,calle ABERTURA Madrid,,2,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28033,Pinar del Rey,http://www.wikidata.org/entity/Q10349788,Hortaleza,http://www.wikidata.org/entity/Q1928529,40.47719279779815,-3.6496196128895835,917633284,bib.hortaleza@madrid.org,/contenido/entidadesYorganismos/BibliotecasPublicas,BibliotecasPublicas
Biblioteca Pública Javier Marías,,Biblioteca-Publica-Javier-Marias-(Moratalaz),,sí,,Metro: Artilleros (línea 9),,,,Metro: Artilleros (línea 9),Artilleros,9,,,,Accesible,CORREGIDOR ALONSO DE TOBAR,calle CORREGIDOR ALONSO DE TOBAR Madrid,,5,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28030,Fontarrón,http://www.wikidata.org/entity/Q10283284,Moratalaz,http://www.wikidata.org/entity/Q2076109,40.403992358842835,-3.6494384856607582,914394688,bib.moratalaz@madrid.org,/contenido/entidadesYorganismos/BibliotecasPublicas,BibliotecasPublicas
Biblioteca Pública José Acuña,,Biblioteca-Publica-Jose-Acuna-(Moncloa---Aravaca),,sí,,"Metro: Arg&amp;uuml;elles (líneas 3, 4 y 6), Ventura Rodriguez (línea 3).",,,,"Metro: Arguelles (líneas 3, 4 y 6), Ventura Rodriguez (línea 3)","Arguelles , Ventura Rodriguez","3
4
6",,,,Sin información sobre accesibilidad para personas con movilidad reducida,QUINTANA,calle de Quintana,http://www.wikidata.org/entity/Q28016208,9,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28008,Argüelles,http://www.wikidata.org/entity/Q64874,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,40.427947044751,-3.716950806640097,915413619,bib.acuna@madrid.org,/contenido/entidadesYorganismos/BibliotecasPublicas,BibliotecasPublicas
Biblioteca Pública José Hierro,,Biblioteca-Publica-Jose-Hierro-(Usera),,sí,,Metro: Plaza Elíptica (líneas 6 y 11),,,,Metro: Plaza Elíptica (líneas 6 y 11),Plaza Elíptica,"6
11",,,,Accesible,RAFAELA YBARRA,calle RAFAELA YBARRA Madrid,,43,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28026,Pradolongo,http://www.wikidata.org/entity/Q10352360,Usera,http://www.wikidata.org/entity/Q953368,40.38188230129181,-3.7106157111470615,914229501,bib.usera@madrid.org,/contenido/entidadesYorganismos/BibliotecasPublicas,BibliotecasPublicas
Biblioteca Pública José Luis Sampedro,,Biblioteca-Publica-Jose-Luis-Sampedro-(Chamberi),,sí,,"Metro: Iglesia (línea 1), Quevedo (línea 2), Alonso Cano (línea 7)",,,,"Metro: Iglesia (línea 1), Quevedo (línea 2), Alonso Cano (línea 7)","Iglesia , Quevedo , Alonso Cano","1
2
7",,,,Accesible,FELIPE EL HERMOSO,calle FELIPE EL HERMOSO Madrid,,4,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28010,Trafalgar,http://www.wikidata.org/entity/Q10384027,Chamberí,http://www.wikidata.org/entity/Q1763370,40.435399621146054,-3.69966592825407,914459782,bib.chamberi@madrid.org,/contenido/entidadesYorganismos/BibliotecasPublicas,BibliotecasPublicas
Biblioteca Pública Luis Martín Santos,,Biblioteca-Publica-Luis-Martin-Santos-(Villa-de-Vallecas),,sí,,"Metro: Villa de Vallecas (línea 1)  Renfe: C1, C2 Y C7.","Renfe: C1, C2 Y C7","C-1
C-2
C-7",,Metro: Villa de Vallecas (línea 1),Villa de Vallecas,1,,,,Accesible,ANTONIO MARIA SEGOVIA,calle ANTONIO MARIA SEGOVIA Madrid,,2,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28031,Santa Eugenia,http://www.wikidata.org/entity/Q390463,Villa de Vallecas,http://www.wikidata.org/entity/Q1947988,40.38092043731836,-3.6136725045662423,912760231,bib.villavallecas@madrid.org,/contenido/entidadesYorganismos/BibliotecasPublicas,BibliotecasPublicas
Biblioteca Pública Luis Rosales,,Biblioteca-Publica-Luis-Rosales-(Carabanchel),,sí,,Metro: Carabanchel Alto (línea 11),,,,Metro: Carabanchel Alto (línea 11),Carabanchel Alto,11,,,,"Accesible
Bucle de inducción magnético",ANTONIA RODRIGUEZ SACRISTAN,calle ANTONIA RODRIGUEZ SACRISTAN Madrid,,7,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28044,Puerta Bonita,http://www.wikidata.org/entity/Q3813762,Carabanchel,http://www.wikidata.org/entity/Q1001991,40.37342554545538,-3.7480707331054375,912760233,bib.carabanchel@madrid.org,/contenido/entidadesYorganismos/BibliotecasPublicas,BibliotecasPublicas
Biblioteca Pública María Moliner,,Biblioteca-Publica-Maria-Moliner-(Villaverde),,sí,,Metro: Villaverde Alto (línea 3)  Cercanías Renfe: Puente Alcocer (C5),Renfe: Puente Alcocer (C5),C-5,Puente Alcocer,Metro: Villaverde Alto (línea 3),Villaverde Alto,3,,,,Accesible,VILLALONSO,calle VILLALONSO Madrid,,16,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28021,"Villaverde Alto, Casco Histórico de Villaverde",http://www.wikidata.org/entity/Q390435,Villaverde,http://www.wikidata.org/entity/Q919536,40.34952488592754,-3.7101159464904097,917230194,bib.villaverde@madrid.org,/contenido/entidadesYorganismos/BibliotecasPublicas,BibliotecasPublicas
