NOMBRE,NOMBRE-WIKI,IDNOMBRE,tieneInstalacionesDeportivas,tieneWifi,generoAlumnos,TRANSPORTE,Cercanias,Cercanias Lines,Cercanias Station,Metro,Metro_Station,metro_line,Bus,bus_line,Superfice m²,ACCESIBILIDAD,NOMBRE-VIA,calle madrid,NOMBRE-VIA-WIKI,NUM,LOCALIDAD,LOCALIDAD-WIKI,PROVINCIA,CODIGO-POSTAL,BARRIO,BARRIO-WIKI,DISTRITO,DISTRITO-WIKI,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO,TipoInstalacion
Centro Deportivo Municipal Alcántara,,Centro-Deportivo-Municipal-Alcantara,,,,"Metro: Lista, Manuel Becerra.  Bus: 21, 43, 53, 146.  Renfe: Cercanías.  Bicicletas:  El centro dispone de aparca bicicletas exterior con capacidad para 12 bicicletas.  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",Cercanías,,,"Metro: Lista, Manuel Becerra","Lista, Manuel Becerra",,"Bus: 21, 43, 53, 146","21
43
53
146",,Accesible,ALCANTARA,"Calle de Alcántara, Madrid",http://www.wikidata.org/entity/Q28070781,26,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28006,Goya,http://www.wikidata.org/entity/Q3814578,Salamanca,http://www.wikidata.org/entity/Q1773521,40.42810291538114,-3.6737317205040503,917373641,alcantara@viding.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios,CentrosEspaciosDeporte
Centro Deportivo Municipal Alfredo Goyeneche,,Centro-Deportivo-Municipal-Alfredo-Goyeneche,,,,"Bus: 160, 161, 658  Renfe:  Aravaca   Bicicleta: El centro dispone de aparca bicicletas exterior con capacidad para 5 bicicletas.",Aravaca C7 C10,"C-7
C-10",Aravaca,,,,"Bus: 160, 161, 658","160
161
658",,Accesible,ARROYO DE POZUELO,calle ARROYO DE POZUELO Madrid,,99,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28023,Aravaca,http://www.wikidata.org/entity/Q3314682,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,40.45212135012858,-3.783283203719198,913571228,idmagoyeneche@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios,CentrosEspaciosDeporte
Centro Deportivo Municipal Antiguo Canódromo,,Centro-Deportivo-Municipal-Antiguo-Canodromo,,,,"Bus: 17 , 25 , 119.",,,,,,,"Bus: 17 , 25 , 119","17
25
119",,Accesible,VIA CARPETANA,calle VIA CARPETANA Madrid,,57,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28047,San Isidro,http://www.wikidata.org/entity/Q3813733,Carabanchel,http://www.wikidata.org/entity/Q1001991,40.39801608457685,-3.7352725040539525,618439332,cdmantiguocanodromo@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios,CentrosEspaciosDeporte
Centro Deportivo Municipal Barajas,,Centro-Deportivo-Municipal-Barajas,,,,"Metro: Barajas , Alameda de Osuna.  Bus: Urbanos (105, 112, 115, 151) / Interurbanos (211, 212, 827).  Bicicleta: el centro dispone de aparcabicicletas exterior con capacidad para 6 bicicletas.",,,,"Metro: Barajas , Alameda de Osuna","Barajas , Alameda de Osuna",,"Bus: Urbanos (105, 112, 115, 151) / Interurbanos (211, 212, 827)","105
112
115
151
211
212
827",,Accesible,LOGROÑO,calle LOGROÑO Madrid,,70,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28042,Alameda de Osuna,http://www.wikidata.org/entity/Q760737,Barajas,http://www.wikidata.org/entity/Q807230,40.46301382809657,-3.587693324074623,913290602,idmbarajas@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios,CentrosEspaciosDeporte
Centro Polivalente Barceló,http://www.wikidata.org/entity/Q35794611,Centro-Deportivo-Municipal-Barcelo,,,,"Metro: Tribunal, Alonso Martínez, Bilbao.  Bus: 3, 21, 37, 40, 147, 149.  Bicicleta:  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,"Metro: Tribunal, Alonso Martínez, Bilbao","Tribunal, Alonso Martínez, Bilbao",,"Bus: 3, 21, 37, 40, 147, 149","3
21
37
40
147
149",,No accesible,BARCELO,calle de Barceló,http://www.wikidata.org/entity/Q27051120,6,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28004,Justicia,http://www.wikidata.org/entity/Q1992319,DISTRITO,,40.42671069347762,-3.6988277636112716,910285389,infobarcelo@forus.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios,CentrosEspaciosDeporte
Centro Deportivo Municipal Blanca Fernández Ochoa,,Centro-Deportivo-Municipal-Blanca-Fernandez-Ochoa-(La-Mina),,,,"Metro: Carabanchel , Eugenia de Montijo.  Bus: 17 , 34 , 35 , 113 , 484 ,  481.  Bicicleta:  el centro dispone de  aparca bicicletas exterior  con capacidad para  4  bicicletas.   Servicio Bicimad , para consultar la estación más cercana, acceda al  mapa de geolocalización de las estaciones .",,,,"Metro: Carabanchel , Eugenia de Montijo","Carabanchel , Eugenia de Montijo",,"Bus: 17 , 34 , 35 , 113 , 484 ,  481","17
34
35
113
484
481",,Accesible,MONSEÑOR OSCAR ROMERO,calle MONSEÑOR OSCAR ROMERO Madrid,,41,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28025,Vista Alegre,http://www.wikidata.org/entity/Q3813741,Carabanchel,http://www.wikidata.org/entity/Q1001991,40.38238220944523,-3.746452142917399,"914661278
914661732",idmlamina@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios,CentrosEspaciosDeporte
Centro Deportivo Municipal Casa de Campo,,Centro-Deportivo-Municipal-Casa-de-Campo,,,,"Metro: Lago, Puerta del Ángel.  Bus:  31, 33, 36, 39, 65, 138.   Bicicleta: el centro dispone de aparca bicicletas exterior con capacidad para 10 bicicletas.  Servicio Bicimad , para consultar la estación más cercana, acceda al  mapa de geolocalización de las estaciones",,,,"Metro: Lago, Puerta del Ángel","Lago, Puerta del Ángel",,"Bus:  31, 33, 36, 39, 65, 138","31
33
36
39
65
138",,Accesible,PUERTA DEL ANGEL,calle PUERTA DEL ANGEL Madrid,,7,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28011,Casa de Campo,http://www.wikidata.org/entity/Q16302441,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,40.41612628789201,-3.733536573641621,"914630050
914649889",idmccampo@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios,CentrosEspaciosDeporte
Centro Deportivo Municipal Centro Integrado Arganzuela,,Centro-Deportivo-Municipal-Centro-Integrado-Arganzuela,,,,"Metro: Palos de la Frontera  Bus: 6, 8, 19, 45, 47, 55, 59, 85, 86, 102, 247  Renfe: Delicias.  Bicicleta: el centro dispone de aparca bicicletas exterior con capacidad para 6 bicicletas.   Servicio Bicimad , para consultar la estación más cercana, acceda al  mapa de geolocalización de las estaciones .",Renfe: Delicias c1 c10,"C-1
C-10",Delicias,Metro: Palos de la Frontera,Palos de la Frontera,,"Bus: 6, 8, 19, 45, 47, 55, 59, 85, 86, 102, 247","6
8
19
45
47
55
59
85
86
102
247",,Accesible,CANARIAS,calle CANARIAS Madrid,,17,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28045,Palos de la Frontera,http://www.wikidata.org/entity/Q521009,Arganzuela,http://www.wikidata.org/entity/Q2000929,40.40207279862862,-3.6955325387824014,915273938,idmestacionsur@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios,CentrosEspaciosDeporte
Centro Deportivo Municipal Chamartín,,Centro-Deportivo-Municipal-Chamartin,,,,"Metro: Pío XII.  Bus: 16 , 29 , 51 , 150.  Bicicleta:  El centro dispone de aparcabicicletas interior con capacidad para 12 bicicletas.  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: Pío XII,Pío XII,,"Bus: 16 , 29 , 51 , 150","16
29
51
150",,Accesible,PIO XII,calle PIO XII Madrid,,2,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28016,Nueva España,http://www.wikidata.org/entity/Q10338128,Chamartín,http://www.wikidata.org/entity/Q1766348,40.46113349830694,-3.676208246061129,913593339,infochamartin@forus.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios,CentrosEspaciosDeporte
Centro Deportivo Municipal Circuito BMX,,Centro-Deportivo-Municipal-Circuito-BMX,,,,"Metro: LegazpiBus: 62, T-32",,,,Metro: Legazpi,Legazpi,,"Bus: 62, T-32","62
32",,No accesible,EMBAJADORES,calle de Embajadores,http://www.wikidata.org/entity/Q5740826,316,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28045,Legazpi,http://www.wikidata.org/entity/Q3773990,Arganzuela,http://www.wikidata.org/entity/Q2000929,40.385539006771225,-3.6898722494765366,915279704,idmcircuitobmx@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CanchasBaloncesto,CentrosEspaciosDeporte
Centro Deportivo Municipal Ciudad de los Poetas,,Centro-Deportivo-Municipal-Ciudad-de-los-Poetas,,,,"Metro: Antonio Machado, Valdez arza   Bus : 126, 127, 132  Bicicleta:el centro dispone de aparca bicicletas  exterior con capacidad para 5 bicicletas.   Servicio Bicimad , para consultar la estación más cercana, acceda al  mapa de geolocalización de las estaciones .",,,,"Metro: Antonio Machado, Valdez arza","Antonio Machado, Valdez arza",,"Bus : 126, 127, 132","126
127
132",,No accesible,ANTONIO MACHADO,"Calle de Antonio Machado, Madrid",http://www.wikidata.org/entity/Q28793893,12,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28035,Valdezarza,http://www.wikidata.org/entity/Q10388728,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,40.465920678080856,-3.7189325594658573,913732739,idmcpoetas@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios,CentrosEspaciosDeporte
Centro Deportivo Municipal Cuatro Caminos,,Centro-Deportivo-Municipal-Cuatro-Caminos,,,,"Metro: Cuatro Caminos (líneas 1, 2 y 7), Guzmán el Bueno (Líneas 6 y 7) Islas Filipinas (Línea 7), Alvarado (Línea 1) Canal (Líneas 2 y 7).  Bus: Circular 1 y 2, líneas 3, 37. 45, 64, 66, 124, 127, 128, 149 y N23.  Bicicleta:   Servicio Bicimad: Estación 132 de calle Santa Engracia 168 y estación 204 de calle Doctor Santero 1.para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,"Metro: Cuatro Caminos (líneas 1, 2 y 7), Guzmán el Bueno (Líneas 6 y 7) Islas Filipinas (Línea 7), Alvarado (Línea 1) Canal (Líneas 2 y 7)","Cuatro Caminos , Guzmán el Bueno  Islas Filipinas , Alvarado  Canal","1
2
7
6","Bus: Circular 1 y 2, líneas 3, 37","1
2
3
37",,"Instalación parcialmente accesible para personas con movilidad reducida
Lengua de signos",BRAVO MURILLO,calle de Bravo Murillo,http://www.wikidata.org/entity/Q5740815,107,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28020,Bellas Vistas,http://www.wikidata.org/entity/Q11908929,Tetuán,http://www.wikidata.org/entity/Q1773540,40.44793969377676,-3.7040303744815635,911177107,info@sportrade.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios,CentrosEspaciosDeporte
Centro Deportivo Municipal Daoíz y Velarde 1,,Centro-Deportivo-Municipal-Daoiz-y-Velarde-1,,,,"Metro: Pacífico, Menéndez Pelayo Bus: 37, 57, 10, 54, 24, 141  Renfe: Méndez Alvaro, Atocha  Bicicleta: el centro dispone de aparcabicicletas exterior con capacidad para 5 bicicletas.   Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.","Renfe: Méndez Alvaro, Atocha C1,C2,C3,C4,C5,C6,C7,C8 y C10","C-1
C-2
C-3
C-4
C-5
C-6
C-7
C-8
C-10","Méndez Alvaro, Atocha","Metro: Pacífico, Menéndez Pelayo","Pacífico, Menéndez Pelayo",,"Bus: 37, 57, 10, 54, 24, 141","37
57
10
54
24
141",,"Accesible
Señalización podotáctil
Bucle de inducción magnético",DAOÍZ Y VELARDE,calle DAOÍZ Y VELARDE Madrid,,5,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28007,Pacífico,http://www.wikidata.org/entity/Q3773753,Retiro,http://www.wikidata.org/entity/Q2002296,40.40236990974131,-3.6772808932293217,"914338950
914338770",idmdvelarde@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios,CentrosEspaciosDeporte
Centro Deportivo Municipal Daoíz y Velarde 2,,Centro-Deportivo-Municipal-Daoiz-y-Velarde-2,,,,"Metro: Pacífico.  Bus: 37 , 57.  Renfe: Méndez Álvaro.  Bicicleta:   Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",Renfe: Méndez Álvaro c1 c5 c10,"C-1
C-5
C-10",Méndez Álvaro,Metro: Pacífico,Pacífico,,"Bus: 37 , 57","37
57",,Accesible,ALBERCHE,calle ALBERCHE Madrid,,21,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28007,Pacífico,http://www.wikidata.org/entity/Q3773753,Retiro,http://www.wikidata.org/entity/Q2002296,40.400799189712316,-3.6778902970366896,914332758,secretaria@fmkarate.com,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios,CentrosEspaciosDeporte
Centro Deportivo Municipal El Espinillo,,Centro-Deportivo-Municipal-El-Espinillo,,,,"Bus: 23, 123, 130  Metro: Villaverde Bajo Cruce  Renfe: Villaverde Bajo  Bicicleta: el centro dispone de aparca bicicletas interior con capacidad para 4 bicicletas.",Renfe: Villaverde Bajo C3 C4,"C-3
C-4",Villaverde Bajo,Metro: Villaverde Bajo Cruce,Villaverde Bajo Cruce,,"Bus: 23, 123, 130","23
123
130",,Accesible,VILLAVERDE A VALLECAS,calle VILLAVERDE A VALLECAS Madrid,,19,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28041,Los Rosales,http://www.wikidata.org/entity/Q10319807,Villaverde,http://www.wikidata.org/entity/Q919536,40.35634193991933,-3.686595141820635,913603265,idmespinillo@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Piscinas,CentrosEspaciosDeporte
Centro Deportivo Municipal El Olivillo,,Centro-Deportivo-Municipal-El-Olivillo,,,,"Metro: Lucero.  Bus: 31, 33, 36, 39, 65.",,,,Metro: Lucero,Lucero,,"Bus: 31, 33, 36, 39, 65","31
33
36
39
65",,No accesible,OLIVILLO,calle OLIVILLO Madrid,,4,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28011,Lucero,http://www.wikidata.org/entity/Q31162,Latina,http://www.wikidata.org/entity/Q794954,40.40652470221465,-3.745889233801086,914790212,idmolivillo@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios,CentrosEspaciosDeporte
Centro Deportivo Municipal El Quijote,,Centro-Deportivo-Municipal-El-Quijote,,,,"Metro:  Francos Rodríguez.  Bus:  44, 64, 126, 127, 128, 132.  Bicicleta:    Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones",,,,Metro:  Francos Rodríguez,Francos Rodríguez,,"Bus:  44, 64, 126, 127, 128, 132","44
64
126
127
128
132",,Accesible,NUMANCIA,calle NUMANCIA Madrid,,11,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28039,Ciudad Universitaria,http://www.wikidata.org/entity/Q3319235,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,40.45357807068047,-3.7130529027048587,914599871,idmelquijote@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Piscinas,CentrosEspaciosDeporte
Centro Deportivo Municipal Escuelas de San Antón,,Centro-Deportivo-Municipal-Escuelas-de-San-Anton,,,,"Bus: 3.  Metro: Chueca y Tribunal.  Bicicleta:   Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: Chueca y Tribunal,Chueca y Tribunal,,Bus: 3,3,,Accesible,FARMACIA,calle de la Farmacia,http://www.wikidata.org/entity/Q26809719,13,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28004,Justicia,http://www.wikidata.org/entity/Q1992319,Centro,http://www.wikidata.org/entity/Q1763376,40.42382670120857,-3.699010103263697,918289006,info@cdmescuelassananton.com,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios,CentrosEspaciosDeporte
Centro Deportivo Municipal Estadio de Atletismo Vallehermoso,,Centro-Deportivo-Municipal-Estadio-de-Atletismo-Vallehermoso,,,,"Metro: Canal (L2, L7), Guzmán el Bueno (L6, L7), Islas Filipinas (L7), Ríos Rosas (L1)  Bus: 2, 12, 44, N21  Bicicleta:  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones",,,,"Metro: Canal (L2, L7), Guzmán el Bueno (L6, L7), Islas Filipinas (L7), Ríos Rosas (L1)","Canal , Guzmán el Bueno , Islas Filipinas , Ríos Rosas","2
7
6
1","Bus: 2, 12, 44, N21","2
12
44
21",,"No accesible
Señalización podotáctil
Bucle de inducción magnético",MELQUIADES ALVAREZ,"Calle de Melquíades Álvarez, Madrid",http://www.wikidata.org/entity/Q29647684,19,Madrid,http://www.wikidata.org/entity/Q1753102,,28003,Vallehermoso,http://www.wikidata.org/entity/Q6122685,Chamberí,http://www.wikidata.org/entity/Q1763370,40.44220302362995,-3.7105841985334544,"914804751
915132774",estadiovallehermoso@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte,CentrosEspaciosDeporte
Centro Deportivo Municipal Estanque del Retiro,,Centro-Deportivo-Municipal-Estanque-del-Retiro,,,,"Metro: Retiro e Ibiza.  Bus: 1, 2, 9, 15, 19, 20, 28, 51, 52, 74, 146, 152 y 202.  Renfe: Recoletos.   Bicicleta:   servicio Bicimad , para consultar la estación más cercana, acceda al  mapa de geolocalización de las estaciones .",Renfe: Recoletos C1 C2 C7 C8 C10,"C-1
C-2
C-7
C-8
C-10",Recoletos,Metro: Retiro e Ibiza,Retiro e Ibiza,,"Bus: 1, 2, 9, 15, 19, 20, 28, 51, 52, 74, 146, 152 y 202","1
2
9
15
19
20
28
51
52
74
146
152
202",,Instalación parcialmente accesible para personas con movilidad reducida,COLOMBIA,calle COLOMBIA Madrid,,2,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28009,Jerónimos,http://www.wikidata.org/entity/Q10306766,Retiro,http://www.wikidata.org/entity/Q2002296,40.418436005960814,-3.6845031319515718,"915744024
915571994",idmretiro@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Embarcaderos,CentrosEspaciosDeporte
Centro Deportivo Municipal Fabián Roncero,,Centro-Deportivo-Municipal-Fabian-Roncero,,,,"Bus: 77.  Metro: Canillejas.  Bicicleta:   El centro dispone de aparcabicicletas exterior con capacidad para 25 bicicletas. Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: Canillejas,Canillejas,,Bus: 77,77,,Accesible,SEPTIMA,calle SEPTIMA Madrid,,68,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28022,Rejas,http://www.wikidata.org/entity/Q10359029,San Blas-Canillejas,http://www.wikidata.org/entity/Q2001937,40.44965684114441,-3.597577201182505,917462995,recepcionfr@thinkingup.fitness,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios,CentrosEspaciosDeporte
Centro Deportivo Municipal Faustina Valladolid,,Centro-Deportivo-Municipal-Faustina-Valladolid-(antiguo-Valdebernardo),,,,"Metro: Valdebernardo.  Bus:   8 , 71 , 130.    Bicicleta:  el centro dispone de  aparca bicicletas exterior  con capacidad para 5bicicletas.   Servicio Bicimad , para consultar la estación más cercana, acceda al  mapa de geolocalización de las estaciones .",,,,Metro: Valdebernardo,Valdebernardo,,"Bus:   8 , 71 , 130","8
71
130",,"Accesible
Señalización podotáctil
Bucle de inducción magnético",LADERA DE LOS ALMENDROS,calle LADERA DE LOS ALMENDROS Madrid,,2,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28032,Casco Histórico de Vicálvaro,http://www.wikidata.org/entity/Q16544374,Vicálvaro,http://www.wikidata.org/entity/Q589403,40.40418961057298,-3.622901144863193,917723591,idmvaldebernardo@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios,CentrosEspaciosDeporte
Centro Deportivo Municipal Fernando Martín,,Centro-Deportivo-Municipal-Fernando-Martin,,,,"Metro: Francos Rodríguez.  Bus:  44, 64, 126, 127, 132.",,,,Metro: Francos Rodríguez,Francos Rodríguez,,"Bus:  44, 64, 126, 127, 132","44
64
126
127
132",,Accesible,SANTO ANGEL DE LA GUARDA,calle SANTO ANGEL DE LA GUARDA Madrid,,6,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28039,Valdezarza,http://www.wikidata.org/entity/Q10388728,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,40.460935404623164,-3.7121918299288628,"914507344
914505530",idmfmartin@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios,CentrosEspaciosDeporte
Centro Deportivo Municipal Fuente del Berro,,Centro-Deportivo-Municipal-Fuente-del-Berro,,,,"Metro: O'Donnell  Bus: 2 , 28 , 30 , 56 , 71 , 143 , C.  Bicicleta: el centro dispone de aparca bicicletas exterior con capacidad para 8 bicicletas.   Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,Metro: O'Donnell,O'Donnell,,"Bus: 2 , 28 , 30 , 56 , 71 , 143 , C","2
28
30
56
71
143",,Accesible,ELVIRA,calle ELVIRA Madrid,,36,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28028,Fuente del Berro,http://www.wikidata.org/entity/Q3814564,Salamanca,http://www.wikidata.org/entity/Q1773521,40.42171956854877,-3.6652515154670167,915881369,idmfuentedelberro@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios,CentrosEspaciosDeporte
Centro Deportivo Municipal Gimnasio Moscardó,,Centro-Deportivo-Municipal-Gimnasio-Moscardo,,,,"Metro: Avenida de América, Cartagena, Diego de León.  Bus: 1, 115 , C  Bicicleta:  El centro dispone de aparcabicicletas  exterior con capacidad para 25 bicicletas.  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,,,"Metro: Avenida de América, Cartagena, Diego de León","Avenida de América, Cartagena, Diego de León",,"Bus: 1, 115 , C","1
115",,Accesible,PILAR DE ZARAGOZA,calle del Pilar de Zaragoza,http://www.wikidata.org/entity/Q118608816,93,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28028,La Guindalera,http://www.wikidata.org/entity/Q3814559,Salamanca,http://www.wikidata.org/entity/Q1773521,40.437945289676996,-3.674502029997267,"913553201
919246793",idmgmoscardo@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios,CentrosEspaciosDeporte
Centro Deportivo Municipal José María Cagigal,,Centro-Deportivo-Municipal-Jose-Maria-Cagigal,,,,"Bus:  41, 46, 75.  Bicicleta: el centro dispone de aparca bicicletas exterior con capacidad para 5 bicicletas.  Servicio Bicimad , para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones  .",,,,,,,"Bus:  41, 46, 75","41
46
75",,Accesible,SANTA POLA,calle SANTA POLA Madrid,,22,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28008,Casa de Campo,http://www.wikidata.org/entity/Q16302441,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,40.43214955342785,-3.7369645992831364,608268794,idmjmcagigal@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios,CentrosEspaciosDeporte
