NOMBRE,NOMBRE-WIKI,IDNOMBRE,tieneInstalacionesDeportivas,tieneWifi,generoAlumnos,TRANSPORTE,Cercanias,Cercanias Lines,Cercanias Station,Metro,Metro_Station,metro_line,Bus,bus_line,Superfice m²,ACCESIBILIDAD,NOMBRE-VIA,calle madrid,NOMBRE-VIA-WIKI,NUM,LOCALIDAD,LOCALIDAD-WIKI,PROVINCIA,CODIGO-POSTAL,BARRIO,BARRIO-WIKI,DISTRITO,DISTRITO-WIKI,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO,TipoInstalacion
Centro de Enseñanza Superior en Humanidades y Ciencias de la Educación Don Bosco,,Centro-de-Ensenanza-Superior-en-Humanidades-y-Ciencias-de-la-Educacion-Don-Bosco,,,,Metro: Francos Rodríguez (línea 7).,,,,Metro: Francos Rodríguez (línea 7),Francos Rodríguez,7,,,,Sin información sobre accesibilidad para personas con movilidad reducida,MARIA AUXILIADORA,calle MARIA AUXILIADORA Madrid,,9,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28040,Ciudad Universitaria,http://www.wikidata.org/entity/Q3319235,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,404.578.663.330.372,-37.154.022.232.737.900,914500472,comunicacion@cesdonbosco.com,/contenido/entidadesYorganismos/Universidades/OtrosCentrosUniversitarios,Universidades
Centro de Enseñanza Superior Villanueva,,Centro-de-Ensenanza-Superior-Villanueva,,,,"Metro: Paco de Lucía (línea 9).  Cercanías Renfe: Mirasierra-Paco de Lucía (líneas C7, C8, C8a, C8b).","Renfe: MirasierraPaco de Lucía (líneas C7, C8, C8a, C8b)","C-7
C-8",Mirasierra-Paco de Lucía,Metro: Paco de Lucía (línea 9),Paco de Lucía,9,,,,Sin información sobre accesibilidad para personas con movilidad reducida,COSTA BRAVA,calle COSTA BRAVA Madrid,,2,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28034,Mirasierra,http://www.wikidata.org/entity/Q31134,Fuencarral-El Pardo,http://www.wikidata.org/entity/Q656196,4.049.594.165.711.770,-3.702.048.289.834.190,917340413,,/contenido/entidadesYorganismos/Universidades/OtrosCentrosUniversitarios,Universidades
Centro Superior de Diseño de Moda de Madrid,,Centro-Superior-de-Diseno-de-Moda-de-Madrid-(Centro-adscrito-a-la-UPM),,,,"Metro: Sierra de Guadalupe (línea 1).  Cercanías Renfe: Vallecas (líneas C2,C7).",Vallecas C1 C2 C7,"C-1
C-2
C-7",Vallecas,Metro: Sierra de Guadalupe (línea 1),Sierra de Guadalupe,1,,,,Sin información sobre accesibilidad para personas con movilidad reducida,VALENCIA,calle de Valencia,http://www.wikidata.org/entity/Q26810468,7,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28030,Fontarrón,http://www.wikidata.org/entity/Q10283284,Moratalaz,http://www.wikidata.org/entity/Q2076109,40.388.857.066.045.900,-36.286.523.028.588.000,913310126,informacion.csdmm@upm.es,/contenido/entidadesYorganismos/Universidades/OtrosCentrosUniversitarios,Universidades
Colegio Mayor Alcor,,Colegio-Mayor-Alcor,,,femenino,"Metro: Metropolitano (línea 6), Guzmán el Bueno (línea 6 y 7).",,,,"Metropolitano (línea 6), Guzmán el Bueno (línea 6 y 7)","Metropolitano , Guzmán el Bueno","6
7",,,,Accesible,GENERAL AMPUDIA,calle GENERAL AMPUDIA Madrid,,7,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28003,Vallehermoso,http://www.wikidata.org/entity/Q6122685,Chamberí,http://www.wikidata.org/entity/Q1763370,40.443.245.742.864.000,-3.715.255.918.766.610,915339208,info@cmalcor.com,/contenido/entidadesYorganismos/Universidades/ColegiosMayores,Universidades
Colegio Mayor Aquinas,,Colegio-Mayor-Aquinas-(Santo-Tomas-de-Aquino),,,mixto,"Metro: Estación Vicente Aleixandre (línea 6), Ciudad Universitaria (línea 6) y Francos Rodríguez (línea 7)",,,,"Metro: Estación Vicente Aleixandre (línea 6), Ciudad Universitaria (línea 6) y Francos Rodríguez (línea 7)","Estación Vicente Aleixandre , Ciudad Universitaria  y Francos Rodríguez","6
7",,,,Accesible,LEONARDO PRIETO CASTRO,calle LEONARDO PRIETO CASTRO Madrid,,6,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28040,Ciudad Universitaria,http://www.wikidata.org/entity/Q3319235,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,4.045.204.759.324.340,-37.218.395.787.782.300,915438800,aquinas@aquinas.es,/contenido/entidadesYorganismos/Universidades/ColegiosMayores,Universidades
Colegio Mayor Argentino Nuestra Señora de Luján,,Colegio-Mayor-Argentino-Nuestra-Senora-de-Lujan,,,mixto,Metro: Moncloa (línea 6) Ciudad Universitaria (línea 6),,,,Metro: Moncloa (línea 6) Ciudad Universitaria (línea 6),Moncloa  Ciudad Universitaria,6,,,,No accesible,MARTIN FIERRO,calle MARTIN FIERRO Madrid,,3,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28040,Ciudad Universitaria,http://www.wikidata.org/entity/Q3319235,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,4.043.610.678.975.890,-3.731.701.576.349.750,911812050,administracion@cmanslujan.com,/contenido/entidadesYorganismos/Universidades/ColegiosMayores,Universidades
Colegio Mayor Barberán y Collar,,Colegio-Mayor-Barberan-y-Collar,,,mixto,Consulta los siguientes enlaces:,,,,,,,,,,No accesible,SENECA,calle SENECA Madrid,,16,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28040,Ciudad Universitaria,http://www.wikidata.org/entity/Q3319235,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,40.434.545.397.562.400,-37.331.585.246.591.500,916020300,cmubarberan@mde.es,/contenido/entidadesYorganismos/Universidades/ColegiosMayores,Universidades
Colegio Mayor Chaminade,,Colegio-Mayor-Chaminade,,,mixto,"Metro: Vicente Aleixandre (línea 6), Guzmán el Bueno (línea 6 y 7).",,,,"Metro: Vicente Aleixandre (línea 6), Guzmán el Bueno (línea 6 y 7)","Vicente Aleixandre , Guzmán el Bueno","6
7",,,,Accesible,JUAN XXIII,"Paseo de Juan XXIII, Madrid",http://www.wikidata.org/entity/Q28367318,9,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28040,Ciudad Universitaria,http://www.wikidata.org/entity/Q3319235,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,4.044.734.637.151.860,-37.177.116.209.853.800,915545400,secretaria@fugjchaminade.es,/contenido/entidadesYorganismos/Universidades/ColegiosMayores,Universidades
Colegio Mayor Fundación SEPI,,Colegio-Mayor-Fundacion-SEPI,,,mixto,Metro: Vicente Aleixandre (línea 6).,,,,Metro: Vicente Aleixandre (línea 6),Vicente Aleixandre,6,,,,Accesible,GREGORIO DEL AMO,calle GREGORIO DEL AMO Madrid,,2,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28040,Ciudad Universitaria,http://www.wikidata.org/entity/Q3319235,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,40.446.907.485.706.800,-37.188.228.498.669.300,915336812,cmusepi.cm@funep.es,/contenido/entidadesYorganismos/Universidades/ColegiosMayores,Universidades
Colegio Mayor Jaime del Amo,,Colegio-Mayor-Jaime-del-Amo,,,masculino,"Metro: Vicente Aleixandre (línea 6),",,,,"Metro: Vicente Aleixandre (línea 6),","Vicente Aleixandre ,",6,,,,No accesible,GREGORIO DEL AMO,calle GREGORIO DEL AMO Madrid,,5,Madrid,http://www.wikidata.org/entity/Q1753102,MADRID,28040,Ciudad Universitaria,http://www.wikidata.org/entity/Q3319235,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,4.044.582.638.073.110,-372.226.686.792.607,915540804,secretaria@jaimedelamo.org,/contenido/entidadesYorganismos/Universidades/ColegiosMayores,Universidades
