date,hour,activity_origin,activity_destination,income,age,gender,n_trips,trips_total_length_km,origin_name,destination_name
2025-06-02,0,home,other_non_frequent,10-15,0-25,male,6189.0,1765301.0,Madrid,Vitoria-Gasteiz
2025-06-02,0,other_non_frequent,home,>15,45-65,male,3160.0,886616.0,Madrid,Vitoria-Gasteiz
2025-06-02,0,other_non_frequent,home,10-15,45-65,male,2983.0,656753.0,Madrid,Albacete
2025-06-02,0,other_non_frequent,home,>15,25-45,female,3164.0,699988.0,Madrid,Albacete
2025-06-02,0,other_non_frequent,other_frequent,10-15,0-25,male,5902.0,1305639.0,Madrid,Albacete
2025-06-02,0,other_non_frequent,other_non_frequent,10-15,25-45,male,2764.0,608484.0,Madrid,Albacete
2025-06-02,0,other_non_frequent,home,10-15,0-25,male,6196.0,2228543.0,Madrid,Alicante/Alacant
2025-06-02,0,other_non_frequent,home,10-15,45-65,female,3692.0,1332986.0,Madrid,Alicante/Alacant
2025-06-02,0,other_non_frequent,home,10-15,65-100,male,2259.0,812541.0,Madrid,Alicante/Alacant
2025-06-02,0,other_non_frequent,other_non_frequent,10-15,0-25,male,6189.0,2211498.0,Madrid,Alicante/Alacant
2025-06-02,0,other_non_frequent,other_non_frequent,10-15,25-45,female,3520.0,1250405.0,Madrid,Alicante/Alacant
2025-06-02,0,home,other_frequent,10-15,65-100,male,2062.0,695722.0,Madrid,Aspe
2025-06-02,0,other_frequent,other_frequent,10-15,25-45,male,3741.0,1380570.0,Madrid,Benidorm
2025-06-02,0,other_non_frequent,home,10-15,25-45,female,3385.0,1247721.0,Madrid,Benidorm
2025-06-02,0,other_non_frequent,other_non_frequent,>15,45-65,male,3451.0,1274692.0,Madrid,Benidorm
2025-06-02,0,home,other_non_frequent,10-15,25-45,male,3649.0,1314721.0,Madrid,"Campello, el"
2025-06-02,0,other_non_frequent,other_non_frequent,<10,0-25,female,3132.0,1078674.0,Madrid,Crevillent
2025-06-02,0,other_non_frequent,home,10-15,0-25,male,4122.0,1503589.0,Madrid,"Nucia, la"
2025-06-02,0,work_or_study,other_non_frequent,>15,45-65,male,2868.0,1070815.0,Madrid,Orihuela
2025-06-02,0,other_non_frequent,other_non_frequent,10-15,45-65,male,2849.0,1163377.0,Madrid,Almería
2025-06-02,0,other_non_frequent,other_non_frequent,10-15,65-100,female,4291.0,1754109.0,Madrid,Almería
2025-06-02,0,work_or_study,other_non_frequent,10-15,25-45,male,3337.0,1365644.0,Madrid,Almería
2025-06-02,0,other_non_frequent,home,<10,25-45,male,3182.0,1327261.0,Madrid,"Ejido, El"
2025-06-02,0,other_non_frequent,other_non_frequent,10-15,25-45,male,3468.0,1418664.0,Madrid,"Ejido, El"
2025-06-02,0,other_non_frequent,other_non_frequent,>15,25-45,female,5040.0,2066384.0,Madrid,"Ejido, El"
2025-06-02,0,other_non_frequent,other_non_frequent,>15,45-65,male,1866.0,238119.0,Madrid,Madrigal de las Altas Torres agregacion de municipios
2025-06-02,0,home,other_non_frequent,>15,25-45,female,4808.0,402939.0,Madrid,Navaluenga agregacion de municipios
2025-06-02,0,other_non_frequent,other_non_frequent,>15,45-65,female,3490.0,1134063.0,Madrid,Zafra
2025-06-02,0,other_non_frequent,other_non_frequent,10-15,45-65,female,3168.0,1768948.0,Madrid,Inca
2025-06-02,0,other_non_frequent,other_non_frequent,>15,45-65,male,2450.0,1360501.0,Madrid,Lloseta
2025-06-02,0,other_non_frequent,home,10-15,25-45,male,2018.0,1187944.0,Madrid,Manacor
2025-06-02,0,other_non_frequent,work_or_study,10-15,0-25,female,4402.0,2587572.0,Madrid,Manacor
2025-06-02,0,other_non_frequent,home,>15,25-45,female,6222.0,3383618.0,Madrid,Marratxí
2025-06-02,0,home,other_non_frequent,10-15,25-45,male,3101.0,1699119.0,Madrid,Palma
2025-06-02,0,other_non_frequent,home,10-15,25-45,male,3828.0,2071609.0,Madrid,Palma
2025-06-02,0,other_non_frequent,home,10-15,45-65,female,6336.0,3431443.0,Madrid,Palma
2025-06-02,0,other_non_frequent,home,10-15,45-65,male,2856.0,1549323.0,Madrid,Palma
2025-06-02,0,other_non_frequent,home,>15,0-25,female,6514.0,3505259.0,Madrid,Palma
