date,hour,id_origin,id_destination,activity_origin,activity_destination,income,age,gender,n_trips,trips_total_length_km
2025-06-02,0,28079,01059,home,other_non_frequent,10-15,0-25,male,6189,1765301
2025-06-02,0,28079,01059,other_non_frequent,home,>15,45-65,male,3160,886616
2025-06-02,0,28079,02003,other_non_frequent,home,10-15,45-65,male,2983,656753
2025-06-02,0,28079,02003,other_non_frequent,home,>15,25-45,female,3164,699988
2025-06-02,0,28079,02003,other_non_frequent,other_frequent,10-15,0-25,male,5902,1305639
2025-06-02,0,28079,02003,other_non_frequent,other_non_frequent,10-15,25-45,male,2764,608484
2025-06-02,0,28079,03014,other_non_frequent,home,10-15,0-25,male,6196,2228543
2025-06-02,0,28079,03014,other_non_frequent,home,10-15,45-65,female,3692,1332986
2025-06-02,0,28079,03014,other_non_frequent,home,10-15,65-100,male,2259,812541
2025-06-02,0,28079,03014,other_non_frequent,other_non_frequent,10-15,0-25,male,6189,2211498
2025-06-02,0,28079,03014,other_non_frequent,other_non_frequent,10-15,25-45,female,3520,1250405
2025-06-02,0,28079,03019,home,other_frequent,10-15,65-100,male,2062,695722
2025-06-02,0,28079,03031,other_frequent,other_frequent,10-15,25-45,male,3741,1380570
2025-06-02,0,28079,03031,other_non_frequent,home,10-15,25-45,female,3385,1247721
2025-06-02,0,28079,03031,other_non_frequent,other_non_frequent,>15,45-65,male,3451,1274692
2025-06-02,0,28079,03050,home,other_non_frequent,10-15,25-45,male,3649,1314721
2025-06-02,0,28079,03059,other_non_frequent,other_non_frequent,<10,0-25,female,3132,1078674
2025-06-02,0,28079,03094,other_non_frequent,home,10-15,0-25,male,4122,1503589
2025-06-02,0,28079,03099,work_or_study,other_non_frequent,>15,45-65,male,2868,1070815
2025-06-02,0,28079,04013,other_non_frequent,other_non_frequent,10-15,45-65,male,2849,1163377
2025-06-02,0,28079,04013,other_non_frequent,other_non_frequent,10-15,65-100,female,4291,1754109
2025-06-02,0,28079,04013,work_or_study,other_non_frequent,10-15,25-45,male,3337,1365644
2025-06-02,0,28079,04902,other_non_frequent,home,<10,25-45,male,3182,1327261
2025-06-02,0,28079,04902,other_non_frequent,other_non_frequent,10-15,25-45,male,3468,1418664
2025-06-02,0,28079,04902,other_non_frequent,other_non_frequent,>15,25-45,female,5040,2066384
2025-06-02,0,28079,05114_AM,other_non_frequent,other_non_frequent,>15,45-65,male,1866,238119
2025-06-02,0,28079,05163_AM,home,other_non_frequent,>15,25-45,female,4808,402939
2025-06-02,0,28079,06158,other_non_frequent,other_non_frequent,>15,45-65,female,3490,1134063
2025-06-02,0,28079,07027,other_non_frequent,other_non_frequent,10-15,45-65,female,3168,1768948
2025-06-02,0,28079,07029,other_non_frequent,other_non_frequent,>15,45-65,male,2450,1360501
2025-06-02,0,28079,07033,other_non_frequent,home,10-15,25-45,male,2017.9999999999998,1187944
2025-06-02,0,28079,07033,other_non_frequent,work_or_study,10-15,0-25,female,4402,2587572
2025-06-02,0,28079,07036,other_non_frequent,home,>15,25-45,female,6222,3383618
2025-06-02,0,28079,07040,home,other_non_frequent,10-15,25-45,male,3101,1699119
2025-06-02,0,28079,07040,other_non_frequent,home,10-15,25-45,male,3828,2071609
2025-06-02,0,28079,07040,other_non_frequent,home,10-15,45-65,female,6336,3431443
2025-06-02,0,28079,07040,other_non_frequent,home,10-15,45-65,male,2856,1549323
2025-06-02,0,28079,07040,other_non_frequent,home,>15,0-25,female,6514,3505259
2025-06-02,0,28079,07040,other_non_frequent,home,>15,25-45,female,16660,8989427
2025-06-02,0,28079,07040,other_non_frequent,home,>15,25-45,male,3295,1780236
2025-06-02,0,28079,07040,other_non_frequent,home,>15,45-65,female,19345,10430728
2025-06-02,0,28079,07040,other_non_frequent,home,>15,45-65,male,7818,4235969
2025-06-02,0,28079,07040,other_non_frequent,other_frequent,>15,45-65,male,2451,1341822
2025-06-02,0,28079,07042,other_non_frequent,home,>15,45-65,female,3385,1911777
2025-06-02,0,28079,08019,other_non_frequent,home,>15,45-65,female,5510,2771619
2025-06-02,0,28079,08019,other_non_frequent,home,>15,65-100,male,2873,1435864
2025-06-02,0,28079,08019,other_non_frequent,other_non_frequent,10-15,45-65,female,2202,1108057
2025-06-02,0,28079,08019,other_non_frequent,other_non_frequent,>15,25-45,female,2104,1041414
2025-06-02,0,28079,08073,other_non_frequent,home,10-15,65-100,female,4997,2515429
2025-06-02,0,28079,08073,other_non_frequent,other_non_frequent,>15,0-25,male,6145,3045635
2025-06-02,0,28079,08101,other_non_frequent,home,10-15,0-25,male,6098,3037772
2025-06-02,0,28079,08101,other_non_frequent,home,>15,45-65,female,2613,1301035
2025-06-02,0,28079,08101,other_non_frequent,other_frequent,10-15,25-45,male,3586,1784034
2025-06-02,0,28079,08245,other_non_frequent,home,10-15,45-65,female,2738,1390729
2025-06-02,0,28079,08270,other_non_frequent,other_non_frequent,>15,65-100,female,4651,2201285
2025-06-02,0,28079,09018,home,other_non_frequent,>15,65-100,female,3554,494967
2025-06-02,0,28079,09059,other_non_frequent,home,>15,45-65,male,2678,561177
2025-06-02,0,28079,09907_AM,home,other_non_frequent,10-15,25-45,male,3586,820400
2025-06-02,0,28079,10037,other_non_frequent,home,10-15,25-45,female,3116,826026
2025-06-02,0,28079,10037,other_non_frequent,home,10-15,45-65,male,1924,504254
2025-06-02,0,28079,11004,home,other_non_frequent,10-15,65-100,female,3932,1954618
2025-06-02,0,28079,11020,other_non_frequent,home,10-15,25-45,male,2854,1324202
2025-06-02,0,28079,11031,home,other_non_frequent,>15,65-100,male,3315,1618402
2025-06-02,0,28079,12032,other_non_frequent,other_non_frequent,10-15,0-25,male,3220,990683
2025-06-02,0,28079,13005,home,other_non_frequent,10-15,65-100,female,3430,382215
2025-06-02,0,28079,13005,other_non_frequent,home,10-15,25-45,male,5084,609619
2025-06-02,0,28079,13005,other_non_frequent,home,10-15,65-100,female,2866,344928
2025-06-02,0,28079,13071,other_non_frequent,home,10-15,0-25,male,4433,916016
2025-06-02,0,28079,13097_AM,other_non_frequent,other_frequent,10-15,0-25,female,5255,697869
2025-06-02,0,28079,13097_AM,other_non_frequent,other_non_frequent,10-15,25-45,male,3337,443787
2025-06-02,0,28079,15030,other_frequent,other_frequent,>15,25-45,male,3969,2038357
2025-06-02,0,28079,15030,other_non_frequent,home,>15,45-65,female,2985,1528844
2025-06-02,0,28079,15030,other_non_frequent,other_frequent,10-15,65-100,male,2529,1296792
2025-06-02,0,28079,15030,other_non_frequent,other_non_frequent,10-15,45-65,male,2666,1363058
2025-06-02,0,28079,15030,other_non_frequent,other_non_frequent,>15,0-25,female,2199,1128543
2025-06-02,0,28079,15030,other_non_frequent,other_non_frequent,>15,45-65,female,3567,1828768
2025-06-02,0,28079,15030,other_non_frequent,other_non_frequent,>15,65-100,female,4468,2285983
2025-06-02,0,28079,15030,other_non_frequent,other_non_frequent,>15,65-100,male,2124,1088530
2025-06-02,0,28079,15030,other_non_frequent,work_or_study,10-15,45-65,female,4186,2143068
2025-06-02,0,28079,15043,other_non_frequent,other_non_frequent,>15,25-45,male,3731,2000495
2025-06-02,0,28079,15045,other_non_frequent,other_non_frequent,10-15,45-65,female,3030,1585362
2025-06-02,0,28079,15078,other_non_frequent,home,>15,0-25,male,2550,1247752
2025-06-02,0,28079,15078,other_non_frequent,other_non_frequent,10-15,25-45,male,2868,1401379
2025-06-02,0,28079,16078,other_non_frequent,home,10-15,0-25,male,7041,935539
2025-06-02,0,28079,16171_AM,other_non_frequent,other_frequent,10-15,0-25,female,5644,768583
2025-06-02,0,28079,18087,home,other_non_frequent,>15,25-45,male,3969,1433671
2025-06-02,0,28079,18087,home,other_non_frequent,>15,45-65,male,2560,929045
2025-06-02,0,28079,18087,other_frequent,home,>15,45-65,female,2141,773552
2025-06-02,0,28079,18087,other_non_frequent,home,10-15,65-100,female,4650,1666446
2025-06-02,0,28079,19021_AM,other_non_frequent,other_non_frequent,10-15,45-65,female,2754,138013
2025-06-02,0,28079,19024,other_frequent,other_non_frequent,10-15,65-100,female,3932,153902
2025-06-02,0,28079,19046,other_frequent,home,10-15,0-25,female,7680,351750
2025-06-02,0,28079,19046,other_frequent,other_non_frequent,>15,25-45,female,4497,179822
2025-06-02,0,28079,19046,other_non_frequent,home,10-15,0-25,female,15360,637124
2025-06-02,0,28079,19046,other_non_frequent,home,10-15,25-45,female,4024,160616
2025-06-02,0,28079,19046,other_non_frequent,home,10-15,45-65,female,3810,159816
2025-06-02,0,28079,19046,other_non_frequent,home,10-15,45-65,male,12368,422235
2025-06-02,0,28079,19046,other_non_frequent,other_frequent,>15,45-65,female,3516,124499
2025-06-02,0,28079,19071,home,other_frequent,>15,65-100,female,4550,76702
2025-06-02,0,28079,19071,other_non_frequent,other_non_frequent,>15,25-45,male,3786,135811
2025-06-02,0,28079,19130,other_frequent,home,10-15,25-45,female,3356,167315
2025-06-02,0,28079,19130,other_non_frequent,home,10-15,45-65,female,3277,153235
2025-06-02,0,28079,19130,other_non_frequent,home,10-15,45-65,male,2378,124446
2025-06-02,0,28079,19130,other_non_frequent,home,10-15,65-100,female,4136,192777
2025-06-02,0,28079,19130,other_non_frequent,home,>15,45-65,female,4035.9999999999995,201791
2025-06-02,0,28079,19130,other_non_frequent,other_non_frequent,10-15,0-25,female,8866,382790
2025-06-02,0,28079,19130,other_non_frequent,work_or_study,>15,45-65,female,4035.9999999999995,197919
