id,name,wikidata_uri,population
01001,Alegría/Dulantzi,https://www.wikidata.org/entity/Q1330796,2925
01002,Amurrio,https://www.wikidata.org/entity/Q481760,10307
01004_AM,Artziniega,https://www.wikidata.org/entity/Q587131,3005
01009_AM,Asparrena,https://www.wikidata.org/entity/Q1368957,4599
01010,Ayala-Aiara,https://www.wikidata.org/entity/Q1368772,2951
01017_AM,Campezo/Kanpezu,https://www.wikidata.org/entity/Q1373973,4314
01028_AM,Labastida,https://www.wikidata.org/entity/Q1155351,7515
01036,Laudio/Llodio,https://www.wikidata.org/entity/Q676903,18009
01043,Oyón-Oion,https://www.wikidata.org/entity/Q581589,3418
01047_AM,Ribera Baja/Erribera Beitia,https://www.wikidata.org/entity/Q1445256,3771
01051,Agurain/Salvatierra,https://www.wikidata.org/entity/Q398698,5029
01054_AM,Urkabustaiz,https://www.wikidata.org/entity/Q1445218,2636
01058_AM,Legutio,https://www.wikidata.org/entity/Q1611490,4466
01059,Vitoria-Gasteiz,https://www.wikidata.org/entity/Q14318,253093
01063_AM,Zuia,https://www.wikidata.org/entity/Q228613,4120
01901,Iruña de Oca/Iruña Oka,https://www.wikidata.org/entity/Q1382293,3468
02003,Albacete,https://www.wikidata.org/entity/Q15095,172722
02008_AM,Alcaraz,https://www.wikidata.org/entity/Q559140,4946
02009,Almansa,https://www.wikidata.org/entity/Q13930,24388
02010_AM,Alpera,https://www.wikidata.org/entity/Q559144,5058
02012_AM,Balazote,https://www.wikidata.org/entity/Q574364,5804
02019_AM,El Bonillo,https://www.wikidata.org/entity/Q54883,4959
02021_AM,Casas de Juan Núñez,https://www.wikidata.org/entity/Q574366,5457
02024_AM,Casas-Ibáñez,https://www.wikidata.org/entity/Q575715,5318
02025,Caudete,https://www.wikidata.org/entity/Q1606055,10077
02029,Chinchilla de Montearagón,https://www.wikidata.org/entity/Q575893,4344
02030,Elche de la Sierra,https://www.wikidata.org/entity/Q575812,3557
02033_AM,Fuente-Álamo,https://www.wikidata.org/entity/Q599774,8111
02034_AM,Fuentealbilla,https://www.wikidata.org/entity/Q389171,4405
02035_AM,La Gineta,https://www.wikidata.org/entity/Q1614683,4403
02037,Hellín,https://www.wikidata.org/entity/Q842652,30427
02045,Madrigueras,https://www.wikidata.org/entity/Q582891,4654
02053,Munera,https://www.wikidata.org/entity/Q941956,3433
02063_AM,Pozohondo,https://www.wikidata.org/entity/Q1623146,5239
02067_AM,Riópar,https://www.wikidata.org/entity/Q605263,4884
02069,La Roda,https://www.wikidata.org/entity/Q630706,15401
02072_AM,Socovos,https://www.wikidata.org/entity/Q652654,3501
02073_AM,Tarazona de la Mancha,https://www.wikidata.org/entity/Q611263,7265
02074,Tobarra,https://www.wikidata.org/entity/Q1622986,7691
02075_AM,Valdeganga,https://www.wikidata.org/entity/Q54877,3932
02079,Villamalea,https://www.wikidata.org/entity/Q609894,4040
02081,Villarrobledo,https://www.wikidata.org/entity/Q82030,24978
02086_AM,Yeste,https://www.wikidata.org/entity/Q618586,4673
02901,Pozo Cañada,https://www.wikidata.org/entity/Q605265,2797
03002_AM,Agost,https://www.wikidata.org/entity/Q1228383,6597
03005_AM,Albatera,https://www.wikidata.org/entity/Q618585,14860
03006_AM,Alcalalí,https://www.wikidata.org/entity/Q619496,2824
03009,Alcoy,https://www.wikidata.org/entity/Q494777,59128
03011,l'Alfàs del Pi,https://www.wikidata.org/entity/Q619126,20495
03012,Algorfa,https://www.wikidata.org/entity/Q954749,3396
03013_AM,Algueña,https://www.wikidata.org/entity/Q620867,2633
03014,Alicante/Alacant,https://www.wikidata.org/entity/Q1752098,337304
03015,Almoradí,https://www.wikidata.org/entity/Q620600,24343
03018,Altea,https://www.wikidata.org/entity/Q436491,22657
03019,Aspe,https://www.wikidata.org/entity/Q1770153,21088
03021,Banyeres de Mariola,https://www.wikidata.org/entity/Q621626,7113
03023_AM,Beneixama,https://www.wikidata.org/entity/Q621622,3327
03024,Benejúzar,https://www.wikidata.org/entity/Q1752438,5453
03026_AM,Beniarbeig,https://www.wikidata.org/entity/Q1649859,5934
03028_AM,Beniarrés,https://www.wikidata.org/entity/Q621839,5524
03031,Benidorm,https://www.wikidata.org/entity/Q487981,69118
03034_AM,Benijófar,https://www.wikidata.org/entity/Q1650580,5787
03035_AM,Benilloba,https://www.wikidata.org/entity/Q1770091,5262
03041,Benissa,https://www.wikidata.org/entity/Q1649406,11462
03042,el Poble Nou de Benitatxell,https://www.wikidata.org/entity/Q817349,4447
