id,name,population
01001,Alegría-Dulantzi,2925
01002,Amurrio,10307
01004_AM,Artziniega agregacion de municipios,3005
01009_AM,Asparrena agregacion de municipios,4599
01010,Ayala/Aiara,2951
01017_AM,Campezo/Kanpezu agregacion de municipios,4314
01028_AM,Labastida/Bastida agregacion de municipios,7515
01036,Laudio/Llodio,18009
01043,Oyón-Oion,3418
01047_AM,Erriberabeitia agregacion de municipios,3771
01051,Agurain/Salvatierra,5029
01054_AM,Urkabustaiz agregacion de municipios,2636
01058_AM,Legutio agregacion de municipios,4466
01059,Vitoria-Gasteiz,253093
01063_AM,Zuia agregacion de municipios,4120
01901,Iruña Oka/Iruña de Oca,3468
02003,Albacete,172722
02008_AM,Alcaraz agregacion de municipios,4946
02009,Almansa,24388
02010_AM,Alpera agregacion de municipios,5058
02012_AM,Balazote agregacion de municipios,5804
02019_AM,"Bonillo, El agregacion de municipios",4959
02021_AM,Casas de Juan Núñez agregacion de municipios,5457
02024_AM,Casas-Ibáñez agregacion de municipios,5318
02025,Caudete,10077
02029,Chinchilla de Monte-Aragón,4344
02030,Elche de la Sierra,3557
02033_AM,Fuente-Álamo agregacion de municipios,8111
02034_AM,Fuentealbilla agregacion de municipios,4405
02035_AM,"Gineta, La agregacion de municipios",4403
02037,Hellín,30427
02045,Madrigueras,4654
02053,Munera,3433
02063_AM,Pozohondo agregacion de municipios,5239
02067_AM,Riópar agregacion de municipios,4884
02069,"Roda, La",15401
02072_AM,Socovos agregacion de municipios,3501
02073_AM,Tarazona de la Mancha agregacion de municipios,7265
02074,Tobarra,7691
02075_AM,Valdeganga agregacion de municipios,3932
02079,Villamalea,4040
02081,Villarrobledo,24978
02086_AM,Yeste agregacion de municipios,4673
02901,Pozo Cañada,2797
03002_AM,Agost agregacion de municipios,6597
03005_AM,Albatera agregacion de municipios,14860
03006_AM,Alcalalí agregacion de municipios,2824
03009,Alcoy/Alcoi,59128
03011,"Alfàs del Pi, l'",20495
03012,Algorfa,3396
03013_AM,Algueña agregacion de municipios,2633
03014,Alicante/Alacant,337304
03015,Almoradí,24343
03018,Altea,22657
03019,Aspe,21088
03021,Banyeres de Mariola,7113
03023_AM,Beneixama agregacion de municipios,3327
03024,Benejúzar,5453
03026_AM,Beniarbeig agregacion de municipios,5934
03028_AM,Beniarrés agregacion de municipios,5524
03031,Benidorm,69118
03034_AM,Benijófar agregacion de municipios,5787
03035_AM,Benilloba agregacion de municipios,5262
03041,Benissa,11462
03042,"Benitachell/Poble Nou de Benitatxell, el",4447
03043,Biar,3628
03044_AM,Bigastro agregacion de municipios,9024
03046,Busot,3207
