trip_id,route_id,service_id,trip_headsign,direction_id,shape_id,route_short_name,route_long_name,route_type,stop_id,stop_name,stop_lat,stop_lon,arrival_time,departure_time,stop_sequence,wheelchair_boarding,wikidata_link
9010201_9__1__013_-9__1__013__2_00:40:00_1_re__27_9__1__013_,9__1__013_,9010201_9__1__013_,ESTUDIOS CINEMATOGRÁFICOS-MEDIODÍA,0,9__1__013__1_re_IT_2,1,L1 CIRCULAR (FFCC-Moreras-FFCC),3,par_8_09568,ESTACIÓN-EST.ARANJUEZ,40.0345268249512,-3.61783719062805,00:40:00,00:40:00,0,2,http://www.wikidata.org/entity/Q3394535
9010201_9__1__013_-9__1__013__2_00:40:00_1_re__27_9__1__013_,9__1__013_,9010201_9__1__013_,ESTUDIOS CINEMATOGRÁFICOS-MEDIODÍA,0,9__1__013__1_re_IT_2,1,L1 CIRCULAR (FFCC-Moreras-FFCC),3,par_8_21327,VALERAS-SAN ANTONIO,40.0337181091309,-3.60868763923645,00:40:00,00:40:00,1,0,http://www.wikidata.org/entity/Q111388619
9010201_9__1__013_-9__1__013__2_00:40:00_1_re__27_9__1__013_,9__1__013_,9010201_9__1__013_,ESTUDIOS CINEMATOGRÁFICOS-MEDIODÍA,0,9__1__013__1_re_IT_2,1,L1 CIRCULAR (FFCC-Moreras-FFCC),3,par_8_09572,ABASTOS-FLORIDA,40.0320510864258,-3.60703206062317,00:40:00,00:40:00,2,2,http://www.wikidata.org/entity/Q109946281
9010201_9__1__013_-9__1__013__2_00:40:00_1_re__27_9__1__013_,9__1__013_,9010201_9__1__013_,ESTUDIOS CINEMATOGRÁFICOS-MEDIODÍA,0,9__1__013__1_re_IT_2,1,L1 CIRCULAR (FFCC-Moreras-FFCC),3,par_8_09576,ABASTOS-AYUNTAMIENTO,40.0319328308105,-3.60386633872986,00:40:00,00:40:00,3,2,http://www.wikidata.org/entity/Q126830041
9010201_9__1__013_-9__1__013__2_00:40:00_1_re__27_9__1__013_,9__1__013_,9010201_9__1__013_,ESTUDIOS CINEMATOGRÁFICOS-MEDIODÍA,0,9__1__013__1_re_IT_2,1,L1 CIRCULAR (FFCC-Moreras-FFCC),3,par_8_09640,ABASTOS-CONCHA,40.0317115783691,-3.60102796554565,00:40:00,00:40:00,4,2,http://www.wikidata.org/entity/Q42200530
9010201_9__1__013_-9__1__013__2_00:40:00_1_re__27_9__1__013_,9__1__013_,9010201_9__1__013_,ESTUDIOS CINEMATOGRÁFICOS-MEDIODÍA,0,9__1__013__1_re_IT_2,1,L1 CIRCULAR (FFCC-Moreras-FFCC),3,par_8_09584,FOSO-GOBERNADOR,40.0323944091797,-3.59809231758118,00:40:00,00:40:00,5,2,http://www.wikidata.org/entity/Q27038964
9010201_9__1__013_-9__1__013__2_00:40:00_1_re__27_9__1__013_,9__1__013_,9010201_9__1__013_,ESTUDIOS CINEMATOGRÁFICOS-MEDIODÍA,0,9__1__013__1_re_IT_2,1,L1 CIRCULAR (FFCC-Moreras-FFCC),3,par_8_09585,FOSO-INFANTAS,40.0333786010742,-3.59798359870911,00:40:00,00:40:00,6,2,http://www.wikidata.org/entity/Q8343724
9010201_9__1__013_-9__1__013__2_00:40:00_1_re__27_9__1__013_,9__1__013_,9010201_9__1__013_,ESTUDIOS CINEMATOGRÁFICOS-MEDIODÍA,0,9__1__013__1_re_IT_2,1,L1 CIRCULAR (FFCC-Moreras-FFCC),3,par_8_09590,MORERAS-LA BARRACA DE FEDERICO GªLORCA,40.0354804992676,-3.59678292274475,00:40:00,00:40:00,7,2,http://www.wikidata.org/entity/Q5909173
9010201_9__1__013_-9__1__013__2_00:40:00_1_re__27_9__1__013_,9__1__013_,9010201_9__1__013_,ESTUDIOS CINEMATOGRÁFICOS-MEDIODÍA,0,9__1__013__1_re_IT_2,1,L1 CIRCULAR (FFCC-Moreras-FFCC),3,par_8_09592,MORERAS-ANCHA,40.0353317260742,-3.59467196464539,00:40:00,00:40:00,8,2,http://www.wikidata.org/entity/Q85696104
9010201_9__1__013_-9__1__013__2_00:40:00_1_re__27_9__1__013_,9__1__013_,9010201_9__1__013_,ESTUDIOS CINEMATOGRÁFICOS-MEDIODÍA,0,9__1__013__1_re_IT_2,1,L1 CIRCULAR (FFCC-Moreras-FFCC),3,par_8_09593,MORERAS-PRIMERO DE MAYO,40.035213470459,-3.59281897544861,00:40:00,00:40:00,9,2,http://www.wikidata.org/entity/Q85696104
