stop_id,area_name,area_code
par_8_06002,Moncloa,Q2449141
par_8_06003,Monumento a las víctimas de la Aviación Militar Española,Q110747776
par_8_06005,Biblioteca Municipal - Ricardo de la Vega,Q85696324
par_8_06012,Parque Deportivo Puerta de Hierro,Q66607283
par_8_06015,Ermita de Nuestra Señora del Buen Camino,Q110749205
par_8_06026,Hostal Aravaca Garden,Q111111737
par_8_06029,Capilla de Nuestra Señora de las Angustias (Colonia San José),Q132817711
par_8_06032,Biblioteca Municipal - D. José de Vicente Muñoz,Q85699117
par_8_06034,Torrelodones,Q23991207
par_8_06036,Biblioteca Municipal - Miguel Hernández,Q85696194
par_8_06037,Biblioteca de la Universidad Antonio de Nebrija - Biblioteca del Campus de La Berzosa,Q85696348
par_8_06038,Biblioteca de la Universidad Antonio de Nebrija - Biblioteca del Campus de La Berzosa,Q85696348
par_8_06039,La Berzosa,Q5962205
par_8_06040,La Berzosa,Q5962205
par_8_06041,La Berzosa,Q5962205
par_8_06042,La Berzosa,Q5962205
par_8_06043,La Berzosa,Q5962205
par_8_06044,plaza de toros de Hoyo de Manzanares,Q101998684
par_8_06045,Hoyo de Manzanares,Q24012733
par_8_06046,Charcas de Los Camorchos,Q107737967
par_8_06047,Biblioteca de la Academia de Ingenieros,Q85696343
par_8_06048,plaza de toros de Hoyo de Manzanares,Q101998684
par_8_06049,La Berzosa,Q5962205
par_8_06050,La Berzosa,Q5962205
par_8_06051,La Berzosa,Q5962205
par_8_06052,La Berzosa,Q5962205
par_8_06053,La Berzosa,Q5962205
par_8_06054,Biblioteca de la Universidad Antonio de Nebrija - Biblioteca del Campus de La Berzosa,Q85696348
par_8_06055,Biblioteca de la Universidad Antonio de Nebrija - Biblioteca del Campus de La Berzosa,Q85696348
par_8_06057,Arroyo de Peregrinos,Q23993765
par_8_06058,Biblioteca Municipal - Casa de Cultura,Q85699111
par_8_06060,Arroyo de Peregrinos,Q23993765
par_8_06061,campus de la Universidad Nebrija en Hoyo de Manzanares,Q28736348
par_8_06062,puente de la Alcanzorla,Q6091482
par_8_06063,puente de la Alcanzorla,Q6091482
par_8_06064,puente de la Navata,Q115656507
