NOMBRE,Matched_URL,AFORO,CERCANIAS,AUTOBUSES,METRO,ACCESIBILIDAD,VIA,LOCALIDAD,CODIGO-POSTAL,BARRIO,DISTRITO,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO
Auditorio Carmen Laforet (Ciudad Lineal),,190,Informacion no disponible,Informacion no disponible,1 y 4,1,Calle Jazmin,Madrid,28033,Costillares,Ciudad Lineal,40.47967249,-3.665724389,913 831 456,cscsiena@madrid.es,Auditorios Salas Concierto
Auditorio al aire libre. Parque del Calero,https://www.wikidata.org/wiki/Q118347646,Informacion no disponible,Informacion no disponible,Informacion no disponible,5,1,Calle Jose Del Hierro,Madrid,28027,La Concepcion,Ciudad Lineal,40.43630013,-3.650408328,605 479 326,cultuclineal@madrid.es,Auditorios Salas Concierto
Auditorio y sala de exposiciones Paco de Lucía (Latina),,275,C5,"138, 139, 155 y 17",Informacion no disponible,"1,6",Avenida Las Aguilas,Madrid,28044,Las Aguilas,Latina,40.3849393,-3.764196395,915 120 890,Informacion no disponible,Centros Culturales
Centro Cultural - Centro Socio Cultural Villa de Barajas,,103,Informacion no disponible,Informacion no disponible,8,"1,5,6",Calle Botica,Madrid,28042,Casco H.Barajas,Barajas,40.47324881,-3.578490862,913 291 803,ccvillabarajas@madrid.es,Centros Culturales
Centro Cultural Agustín Díaz (Moncloa - Aravaca),,280,Informacion no disponible,Informacion no disponible,Informacion no disponible,1,Paseo Comandante Fortea,Madrid,28008,Casa De Campo,Moncloa-aravaca,40.42754184,-3.732411211,915 487 772,ccadiaz@madrid.es,Centros Culturales
Centro Cultural Alfredo Kraus (Fuencarral - El Pardo),,Informacion no disponible,Informacion no disponible,Informacion no disponible,Informacion no disponible,1,Glorieta Pradera De Vaquerizas,Madrid,28035,Mirasierra,Fuencarral-el Pardo,40.49082276,-3.721605433,913 767 085,ccakraus@madrid.es,Centros Culturales
Centro Cultural Antonio Machado (San Blas - Canillejas),,401,Informacion no disponible,Informacion no disponible,2,1,Calle San Roman Del Valle,Madrid,28037,Arcos,San Blas-canillejas,40.42028046,-3.621730742,913 135 294,ccamachado@madrid.es,Centros Culturales
Centro Cultural Auditorio Parque El Paraíso (San Blas - Canillejas),https://www.wikidata.org/wiki/Q117839132,Informacion no disponible,Informacion no disponible,Informacion no disponible,7,1,Avenida Arcentales,Madrid,28037,Hellin,San Blas-canillejas,40.42997621,-3.622177358,915 888 065,cultusanblas@madrid.es,Auditorios Salas Concierto
Centro Cultural Buenavista (Salamanca),https://www.wikidata.org/wiki/Q47012449,114,Informacion no disponible,Informacion no disponible,"4, 5 y 6","1,5,6",Avenida Toreros,Madrid,28028,Guindalera,Salamanca,40.43200002,-3.670904677,917 240 800,ccbuenavista@madrid.es,Centros Culturales
Centro Cultural Buero Vallejo (San Blas - Canillejas),,264,Informacion no disponible,Informacion no disponible,5,1,Calle Boltaña,Madrid,28022,Canillejas,San Blas-canillejas,40.44477475,-3.612910584,917 411 182,ccbvallejo@madrid.es,Centros Culturales
Centro Cultural Carril del Conde (Hortaleza),,288,Informacion no disponible,Informacion no disponible,4,1,Calle Carril Del Conde,Madrid,28043,Canillas,Hortaleza,40.460895,-3.654366821,917 161 240,cccarrilconde@madrid.es,Centros Culturales
Centro Cultural Casa de Vacas (Retiro),https://www.wikidata.org/wiki/Q108328073,140,Informacion no disponible,Informacion no disponible,2,1,Paseo Colombia,Madrid,28009,Los Jeronimos,Retiro,40.41906572,-3.684053113,914 092 336,cccasadevacas@madrid.es,Salas Exposiciones
Centro Cultural Casa del Reloj (Arganzuela),https://www.wikidata.org/wiki/Q56426877,265,Informacion no disponible,Informacion no disponible,3 y6,1,Paseo Chopera,Madrid,28045,Chopera,Arganzuela,40.39466755,-3.700396761,915 886 118 / 915 886 299,crelojarganzuela@madrid.es,Centros Culturales
Centro Cultural Ciudad Pegaso (San Blas - Canillejas),,132,Informacion no disponible,Informacion no disponible,Informacion no disponible,1,Avenida Septima,Madrid,28022,Rejas,San Blas-canillejas,40.44844758,-3.598099871,917 415 852,cccpegaso@madrid.es,Centros Culturales
Centro Cultural Clara del Rey - Museo ABC (Centro),,55,Informacion no disponible,Informacion no disponible,3 y 10,1,Calle Amaniel,Madrid,28015,Universidad,Centro,40.42741341,-3.70953811,915 222 823,ccclararey@madrid.es,Centros Culturales
Centro Cultural Eduardo Úrculo (Tetuán),,425,Informacion no disponible,Informacion no disponible,9,"1,6",Plaza Donoso,Madrid,28029,Almenara,Tetuan,40.46900765,-3.697595692,917 337 249,cceurculo@madrid.es,Centros Culturales
Centro Cultural El Plantío (Moncloa - Aravaca),,Informacion no disponible,Informacion no disponible,Informacion no disponible,Informacion no disponible,1,Calle Jose Lombana Iglesias,Madrid,28023,El Plantio,Moncloa-aravaca,40.47096731,-3.824516415,913 644 191,ccplantio@madrid.es,Centros Culturales
Centro Cultural El Pozo del tío Raimundo (Puente de Vallecas),,363,Informacion no disponible,Informacion no disponible,2,1,Avenida Glorietas,Madrid,28053,Entrevias,Puente De Vallecas,40.37381624,-3.659932573,917 866 644,ccptioraimundo@madrid.es,Centros Culturales
Centro Cultural Emilia Pardo Bazán (Salamanca),,63,Informacion no disponible,Informacion no disponible,4,1,Calle Goya,Madrid,28001,Recoletos,Salamanca,40.42585801,-3.689601594,913 052 081,ccemiliapardobazan@madrid.es,Salas Estudio Lectura
Centro Cultural Federico Chueca (Hortaleza),,114,Informacion no disponible,Informacion no disponible,Informacion no disponible,1,Calle Benita Avila,Madrid,28043,Canillas,Hortaleza,40.46551327,-3.650585652,913 000 389,ccfchueca@madrid.es,Centros Culturales
Centro Cultural Fernando Lázaro Carreter (Carabanchel),,238,Informacion no disponible,Informacion no disponible,5,1,Calle Verdad,Madrid,28019,Opañel,Carabanchel,40.39164455,-3.717137583,914 690 895,cclazaro@madrid.es,Centros Culturales
Centro Cultural Fernando de los Ríos (Latina),https://www.wikidata.org/wiki/Q26805201,194,Informacion no disponible,Informacion no disponible,Informacion no disponible,"1,6",Calle Camarena,Madrid,28047,Aluche,Latina,40.39552931,-3.756266746,917 198 930 / 917 198 931 / 917 198 993,ccfrios@madrid.es,Centros Culturales
Centro Cultural Fuente de San Pedro - Valderrivas (Vicálvaro),,56,Informacion no disponible,Informacion no disponible,Informacion no disponible,1,Calle Titanio,Madrid,28032,Valderrivas,Vicalvaro,40.40218086,-3.601411485,917 753 200,ccfuentesanpedro@madrid.es,Centros Culturales
Centro Cultural Galileo (Chamberí),,175,Informacion no disponible,Informacion no disponible,2,1,Calle Galileo,Madrid,28015,Arapiles,Chamberi,40.43371945,-3.710446899,915 913 901,ccgalileo@madrid.es,Centros Culturales
